COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ALGERIA","ALG","0","6","0","0","6","0","0","0","0","6"
"ALL","ALL","138","6141","2247","13020","21546","3564","3942","17621","25127","46673"
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","14","0","0","14","1","0","0","1","15"
"ARGENTINA","ARGN","0","24","0","1","25","2","0","0","2","27"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"AUSTRALIA","AUS","0","22","2","0","24","5","0","0","5","29"
"AUSTRIA","ASRA","0","3","0","0","3","0","0","0","0","3"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELARUS","BELA","0","2","0","0","2","0","0","0","0","2"
"BELGIUM","BEL","0","6","0","0","6","0","0","0","0","6"
"BERMUDA","BERM","0","1","0","0","1","0","0","0","0","1"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","17","0","0","17","3","0","0","3","20"
"Bulgaria","BGR","0","1","0","0","1","0","0","0","0","1"
"CANADA","CA","0","59","0","5","64","2","0","2","4","68"
"CHILE","CHLE","0","3","0","0","3","0","0","0","0","3"
"COLOMBIA","COL","0","2","0","0","2","0","0","0","0","2"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","4","1543","1048","4543","7138","2057","2874","10378","15309","22447"
"CZECHOSLOVAKIA","CZCH","0","6","0","0","6","2","0","0","2","8"
"Democratic Socialist Republic of Sri Lanka","LKA","0","1","0","0","1","0","0","0","0","1"
"DENMARK","DEN","0","10","0","0","10","2","0","0","2","12"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","9","0","0","9","0","0","0","0","9"
"ESTONIA","EST","0","2","0","0","2","0","0","0","0","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","9","0","8","17","0","0","0","0","17"
"EUROPEAN SPACE AGENCY","ESA","0","92","7","50","149","12","7","21","40","189"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","56","0","0","56","0","0","0","0","56"
"Federal Democratic Republic of Nepal","NPL","0","1","0","0","1","0","0","0","0","1"
"FINLAND","FIN","0","9","0","0","9","1","0","0","1","10"
