Object,Close-Approach (CA) Date,CA Distance Nominal (km),Estimated Diameter,Min Diameter (km),Max Diameter (km)
(2020 HX3),2020-Apr-24 19:38 ± < 00:01,253705.32,9.8 m -   22 m,0.009800000000000001,0.022
(2017 FY101),1918-Mar-29 17:18 ± 3_06:58,238329.24,9.7 m -   22 m,0.009699999999999999,0.022
(2019 AE9),2019-Jan-12 11:09 ± < 00:01,99944.52,9.7 m -   22 m,0.009699999999999999,0.022
(2010 AL30),2010-Jan-13 12:47 ± < 00:01,130696.68000000001,9.7 m -   22 m,0.009699999999999999,0.022
(2018 FE3),2018-Mar-18 07:12 ± < 00:01,146072.76,9.7 m -   22 m,0.009699999999999999,0.022
(2017 BS32),2017-Feb-02 20:24 ± < 00:01,161448.84,9.7 m -   22 m,0.009699999999999999,0.022
(2017 TD6),2017-Oct-19 18:53 ± < 00:01,192201.0,9.7 m -   22 m,0.009699999999999999,0.022
(2013 PS13),2013-Aug-09 05:21 ± < 00:01,203733.06,9.7 m -   22 m,0.009699999999999999,0.022
(2007 US51),2007-Oct-30 06:06 ± < 00:01,222953.15999999997,9.7 m -   22 m,0.009699999999999999,0.022
(2015 XY261),2015-Dec-15 13:52 ± < 00:01,288301.5,9.7 m -   22 m,0.009699999999999999,0.022
(2018 KY2),2018-May-26 05:25 ± < 00:01,299833.56,9.7 m -   22 m,0.009699999999999999,0.022
(2006 WV),2006-Nov-21 10:07 ± < 00:01,349805.82,9.7 m -   22 m,0.009699999999999999,0.022
(2020 JA),2020-May-03 20:01 ± < 00:01,238329.24,9.6 m -   21 m,0.0096,0.021
(2018 QR1),2018-Aug-21 21:10 ±    00:02,88412.46,9.5 m -   21 m,0.0095,0.021
(2012 VH77),2012-Nov-12 20:59 ± < 00:01,199889.04,9.2 m -   21 m,0.0092,0.021
(2019 LW4),2019-Jun-08 17:04 ± < 00:01,249861.30000000002,9.2 m -   21 m,0.0092,0.021
(2009 TU),2009-Oct-08 23:50 ± < 00:01,303677.58,9.2 m -   21 m,0.0092,0.021
(2017 SM2),2017-Sep-20 07:34 ± < 00:01,311365.62,9.2 m -   21 m,0.0092,0.021
(2020 QR5),2020-Aug-23 04:20 ± < 00:01,319053.66,9.2 m -   21 m,0.0092,0.021
(2008 FK),2008-Mar-23 09:39 ±    00:07,326741.7,9.2 m -   21 m,0.0092,0.021
(2019 YV4),2019-Dec-25 21:41 ±    11:01,376713.96,9.2 m -   21 m,0.0092,0.021
(2007 UO6),2007-Oct-17 14:52 ±    00:20,369025.92,9.2 m -   21 m,0.0092,0.021
(2020 JN),2020-May-05 03:22 ± < 00:01,249861.30000000002,9.0 m -   20 m,0.009,0.02
(2020 KC5),2020-May-29 20:47 ± < 00:01,369025.92,9.0 m -   20 m,0.009,0.02
(2020 BA15),2020-Jan-28 18:03 ± < 00:01,376713.96,9.0 m -   20 m,0.009,0.02
(2020 LD),2020-Jun-05 08:23 ± < 00:01,307521.60000000003,89 m -  200 m,0.089,0.2
(2018 AH),2018-Jan-02 04:25 ± < 00:01,295989.54,84 m -  190 m,0.084,0.19
(2013 UG1),1976-Oct-17 04:21 ± < 00:01,326741.7,84 m -  190 m,0.084,0.19
(2018 PD20),2018-Aug-10 14:34 ±    00:01,34596.18,8.8 m -   20 m,0.0088,0.02
(2015 HD1),2015-Apr-21 08:17 ± < 00:01,57660.299999999996,8.8 m -   20 m,0.0088,0.02
(2017 WA14),2017-Nov-21 19:53 ± < 00:01,96100.5,8.8 m -   20 m,0.0088,0.02
(2019 YU2),2019-Dec-23 19:28 ± < 00:01,99944.52,8.8 m -   20 m,0.0088,0.02
(2019 QB1),2019-Aug-20 11:55 ± < 00:01,123008.64,8.8 m -   20 m,0.0088,0.02
(2017 HJ),2017-Apr-16 05:43 ± < 00:01,134540.69999999998,8.8 m -   20 m,0.0088,0.02
(2011 UX255),2011-Oct-28 17:43 ±    00:05,138384.72,8.8 m -   20 m,0.0088,0.02
(2014 UF56),2014-Oct-27 21:22 ± < 00:01,165292.86,8.8 m -   20 m,0.0088,0.02
(2019 VD),2019-Nov-04 09:56 ± < 00:01,172980.9,8.8 m -   20 m,0.0088,0.02
(2009 WJ6),2009-Nov-20 11:09 ± < 00:01,176824.92,8.8 m -   20 m,0.0088,0.02
(2010 SK13),2010-Sep-30 15:59 ± < 00:01,265237.38,8.8 m -   20 m,0.0088,0.02
(2018 VC7),2018-Nov-13 02:24 ±    00:02,334429.74,8.8 m -   20 m,0.0088,0.02
(2016 LR51),2016-Jun-05 04:31 ±    00:03,349805.82,8.8 m -   20 m,0.0088,0.02
(2017 LD),1922-Jun-07 23:28 ± 5_23:52,53816.280000000006,8.4 m -   19 m,0.008400000000000001,0.019
(2010 HP20),2010-Apr-18 20:37 ±    10:15,238329.24,8.4 m -   19 m,0.008400000000000001,0.019
(2008 EM68),2008-Mar-10 19:39 ± 1_10:56,219109.13999999998,8.4 m -   19 m,0.008400000000000001,0.019
(2014 AW32),1941-Jan-10 12:50 ±    05:08,142228.74,8.4 m -   19 m,0.008400000000000001,0.019
(2005 UW5),2005-Oct-30 00:17 ± < 00:01,188356.98,8.4 m -   19 m,0.008400000000000001,0.019
(2014 AW32),2014-Jan-10 21:40 ± < 00:01,188356.98,8.4 m -   19 m,0.008400000000000001,0.019
(2019 VF5),2019-Nov-09 23:16 ± < 00:01,188356.98,8.4 m -   19 m,0.008400000000000001,0.019
(2020 TE6),2020-Oct-18 19:19 ± < 00:01,230641.19999999998,8.4 m -   19 m,0.008400000000000001,0.019
(2005 BS1),2005-Jan-13 10:10 ±    00:10,261393.36000000002,8.4 m -   19 m,0.008400000000000001,0.019
(2018 VX1),1959-Nov-11 17:41 ±    20:52,369025.92,8.4 m -   19 m,0.008400000000000001,0.019
(2017 HG49),2017-Apr-21 04:34 ±    00:15,357493.86000000004,8.4 m -   19 m,0.008400000000000001,0.019
(2018 VX1),2018-Nov-10 18:20 ± < 00:01,380557.98,8.4 m -   19 m,0.008400000000000001,0.019
(2020 TF6),2020-Oct-19 19:24 ± < 00:01,153760.80000000002,8.1 m -   18 m,0.0081,0.018
(2012 BX34),2012-Jan-27 15:25 ± < 00:01,65348.340000000004,8.0 m -   18 m,0.008,0.018
(2016 VA),2016-Nov-02 00:42 ± < 00:01,96100.5,8.0 m -   18 m,0.008,0.018
(2012 BX34),1959-Jan-27 10:33 ±    00:25,203733.06,8.0 m -   18 m,0.008,0.018
(2006 QM111),2006-Aug-31 21:30 ± < 00:01,161448.84,8.0 m -   18 m,0.008,0.018
(2016 VA),1938-Nov-02 06:17 ± 1_02:53,280613.46,8.0 m -   18 m,0.008,0.018
(2010 TW54),2010-Oct-09 00:41 ±    00:01,161448.84,8.0 m -   18 m,0.008,0.018
(2007 EH),2007-Mar-11 01:38 ± < 00:01,176824.92,8.0 m -   18 m,0.008,0.018
(2018 FZ3),2018-Mar-23 16:19 ± < 00:01,192201.0,8.0 m -   18 m,0.008,0.018
(2014 YW14),1968-Dec-28 03:32 ± 1_09:34,246017.28,8.0 m -   18 m,0.008,0.018
(2019 SJ),2019-Sep-16 18:56 ± < 00:01,246017.28,8.0 m -   18 m,0.008,0.018
(2018 GY3),2018-Apr-10 04:23 ±    00:02,299833.56,8.0 m -   18 m,0.008,0.018
(2016 GO134),2016-Apr-08 19:34 ±    00:04,330585.72,8.0 m -   18 m,0.008,0.018
(2019 EN2),2019-Mar-13 23:38 ± < 00:01,330585.72,8.0 m -   18 m,0.008,0.018
(2016 SU2),2016-Sep-24 19:07 ± < 00:01,349805.82,8.0 m -   18 m,0.008,0.018
(2018 MD7),1915-Aug-08 11:22 ± 4_09:29,111476.57999999999,77 m -  170 m,0.077,0.17
458732 (2011 MD5),1918-Sep-17 22:24 ±    00:04,349805.82,730 m -  1.6 km,0.73,1.6
(2020 GO1),2020-Apr-01 19:09 ± < 00:01,69192.36,7.9 m -   18 m,0.0079,0.018
(2020 FD),2020-Mar-18 04:05 ± < 00:01,257549.34000000003,7.9 m -   18 m,0.0079,0.018
(2016 CM194),2016-Feb-13 07:48 ± < 00:01,76880.40000000001,7.7 m -   17 m,0.0077,0.017
(2018 NX),2018-Jul-07 18:12 ± < 00:01,115320.59999999999,7.7 m -   17 m,0.0077,0.017
(2008 CT1),2008-Feb-05 07:04 ±    00:39,134540.69999999998,7.7 m -   17 m,0.0077,0.017
(2019 UE4),2008-Oct-20 22:54 ± 4_10:07,276769.44,7.7 m -   17 m,0.0077,0.017
(2016 AN165),2016-Jan-13 14:45 ± < 00:01,180668.94,7.7 m -   17 m,0.0077,0.017
