,Launch Date,Country,Size,Decay Date
602,1958-05-15,CIS,LARGE,1960-04-06
606,1959-02-17,US,SMALL,2007-10-23
607,1959-08-07,US,SMALL,1961-06-30
613,1959-09-18,US,SMALL,2015-02-04
614,1959-09-18,US,SMALL,2014-04-03
615,1959-10-13,US,MEDIUM,1989-07-16
620,1960-04-01,US,MEDIUM,1983-04-17
622,1960-04-01,US,LARGE,1991-07-03
623,1960-04-13,US,SMALL,1979-07-15
642,1960-06-22,US,SMALL,2002-11-29
643,1960-06-22,US,SMALL,2003-08-19
658,1960-11-03,US,MEDIUM,1985-10-27
659,1960-11-03,US,MEDIUM,2012-03-28
661,1960-11-23,US,MEDIUM,1990-01-25
662,1960-11-23,US,MEDIUM,1989-05-10
663,1960-11-23,US,MEDIUM,1981-09-24
664,1960-11-23,US,MEDIUM,2014-05-18
700,1961-04-27,US,MEDIUM,1989-03-03
707,1961-06-29,US,MEDIUM,1989-11-13
708,1961-06-29,US,MEDIUM,1988-08-11
709,1961-06-29,US,SMALL,2002-10-17
711,1961-06-29,US,MEDIUM,2000-03-03
714,1961-06-29,US,SMALL,1982-02-12
715,1961-06-29,US,SMALL,1999-03-12
718,1961-06-29,US,MEDIUM,1981-08-29
721,1961-06-29,US,MEDIUM,1981-01-08
722,1961-06-29,US,SMALL,1998-09-25
725,1961-06-29,US,SMALL,1981-04-20
729,1961-06-29,US,SMALL,1979-03-03
739,1961-06-29,US,MEDIUM,1978-07-08
741,1961-06-29,US,SMALL,1980-12-15
743,1961-06-29,US,MEDIUM,2002-04-17
749,1961-06-29,US,MEDIUM,1981-08-31
767,1961-06-29,US,SMALL,1990-10-05
772,1961-06-29,US,SMALL,2000-05-10
775,1961-06-29,US,SMALL,2002-03-01
777,1961-06-29,US,SMALL,2000-06-10
783,1961-06-29,US,SMALL,1991-12-27
784,1961-06-29,US,SMALL,2002-02-13
794,1961-06-29,US,SMALL,1991-01-05
795,1961-06-29,US,SMALL,1982-05-27
798,1961-06-29,US,SMALL,2001-04-30
808,1961-06-29,US,SMALL,1990-05-28
810,1961-06-29,US,SMALL,1990-02-16
811,1961-06-29,US,SMALL,1991-02-02
814,1961-06-29,US,SMALL,1989-11-20
815,1961-06-29,US,SMALL,2014-11-05
819,1961-06-29,US,MEDIUM,1991-07-06
821,1961-06-29,US,SMALL,1991-08-20
822,1961-06-29,US,SMALL,1991-02-24
831,1961-06-29,US,SMALL,1982-01-18
832,1961-06-29,US,SMALL,2014-04-02
836,1961-06-29,US,SMALL,2003-04-26
837,1961-06-29,US,SMALL,2007-08-02
840,1961-06-29,US,SMALL,1981-12-03
842,1961-06-29,US,SMALL,1988-11-26
844,1961-06-29,US,MEDIUM,1989-12-18
846,1961-06-29,US,SMALL,2001-04-01
848,1961-06-29,US,SMALL,1984-10-02
850,1961-06-29,US,SMALL,2014-12-09
