,Country,Orbital TBA,Orbital Payload Count,Orbital Rock Body Count,Orbital Debris Count,Orbital Total,Decayed Payload,Decayed Rocket Body Count,Decayed Debris Count,Decayed Total,Total,Value
0,ALGERIA,0,6,0,0,6,0,0,0,0,6,159049096745.249
1,ARAB WORLD,0,14,0,0,14,1,0,0,1,15,2504702625568.63
2,ARGENTINA,0,24,0,1,25,2,0,0,2,27,545476103427.247
3,AUSTRALIA,0,22,2,0,24,5,0,0,5,29,1204616439828.41
4,AUSTRIA,0,3,0,0,3,0,0,0,0,3,390799991147.46796
5,AZERBAIJAN,0,3,0,0,3,0,0,0,0,3,37847715736.0406
6,BELARUS,0,2,0,0,2,0,0,0,0,2,47407217531.162
7,BELGIUM,0,6,0,0,6,0,0,0,0,6,467955709817.539
8,BOLIVIA,0,1,0,0,1,0,0,0,0,1,33806395513.7482
9,BRAZIL,0,17,0,0,17,3,0,0,3,20,1796186586414.45
10,BULGARIA,0,1,0,0,1,0,0,0,0,1,53237882472.7108
11,CANADA,0,59,0,5,64,2,0,2,4,68,1529760492201.35
12,CHILE,0,3,0,0,3,0,0,0,0,3,247027912574.35
13,COLOMBIA,0,2,0,0,2,0,0,0,0,2,282462551366.878
14,DENMARK,0,10,0,0,10,2,0,0,2,12,306899653409.601
15,ECUADOR,0,2,0,0,2,0,0,0,0,2,98613972000.0
16,ESTONIA,0,2,0,0,2,0,0,0,0,2,23337907618.5174
17,FINLAND,0,9,0,0,9,1,0,0,1,10,238502900311.9
18,FRANCE,0,69,163,346,578,10,80,653,743,1321,2465453975282.24
19,GERMANY,0,66,0,1,67,17,0,1,18,85,3477796274496.8
20,GREECE,0,3,0,0,3,2,0,0,2,5,192690813126.86
21,HUNGARY,0,0,0,0,0,3,0,0,3,3,125816640420.569
22,INDIA,0,100,37,82,219,12,25,440,477,696,2263792499341.01
23,INDONESIA,0,18,0,0,18,1,0,0,1,19,932259177765.307
24,IRAQ,0,1,0,0,1,0,0,0,0,1,171489001692.047
25,ISRAEL,0,22,1,0,23,5,8,1,14,37,317744784695.1
26,ITALY,0,30,2,0,32,13,0,2,15,47,1858913163927.72
27,JAPAN,0,187,61,115,363,65,66,194,325,688,4940158776617.16
28,KAZAKHSTAN,0,8,0,0,8,0,0,0,0,8,137278320084.17099
29,LITHUANIA,0,3,0,0,3,2,0,0,2,5,42738875963.3703
30,LUXEMBOURG,0,1,0,0,1,1,0,0,1,2,58631324559.4484
31,MALAYSIA,0,7,0,0,7,0,0,0,0,7,296535930381.12
32,MEXICO,0,10,0,0,10,0,0,0,0,10,1046922702460.87
33,MONGOLIA,0,0,0,0,0,1,0,0,1,1,11183458130.8083
34,MOROCCO,0,2,0,0,2,0,0,0,0,2,103606321692.58199
35,NETHERLANDS,0,8,0,0,8,1,0,0,1,9,777227541581.307
36,NEW ZEALAND,0,0,0,0,0,1,0,0,1,1,184969146624.47
37,NIGERIA,0,5,0,0,5,1,0,0,1,6,404652720164.859
38,NORWAY,0,11,0,0,11,0,0,0,0,11,371076190476.19
39,PAKISTAN,0,6,0,0,6,1,0,0,1,7,278913371202.065
40,PERU,0,2,0,0,2,2,0,0,2,4,192207342004.68103
41,POLAND,0,5,0,0,5,1,0,0,1,6,471364408713.956
42,PORTUGAL,0,1,0,0,1,0,0,0,0,1,204836597909.466
43,ROMANIA,0,0,0,0,0,1,0,0,1,1,187592037839.96802
44,SAUDI ARABIA,0,15,0,0,15,0,0,0,0,15,646438380560.0
45,SINGAPORE,0,11,0,0,11,1,0,0,1,12,296975678610.206
46,SOUTH AFRICA,0,5,0,0,5,2,0,0,2,7,295456189492.005
47,SPAIN,0,30,0,0,30,3,0,0,3,33,1237255019653.86
48,SWEDEN,0,11,0,0,11,1,0,0,1,12,514459972806.171
49,SWITZERLAND,0,4,0,0,4,0,0,0,0,4,668851296244.236
50,THAILAND,0,11,0,0,11,0,0,0,0,11,407026127310.43396
51,TURKEY,0,12,0,0,12,3,0,0,3,15,863711710426.514
52,UKRAINE,0,4,2,0,6,3,0,0,3,9,93270479388.5243
53,UNITED ARAB EMIRATES,0,11,0,0,11,0,0,0,0,11,348743265704.56104
54,UNITED KINGDOM,0,124,1,1,126,12,0,4,16,142,2647898654635.24
55,UNITED STATES,16,2564,714,4228,7522,1185,702,4623,6510,14032,18624475000000.0
56,URUGUAY,0,1,0,0,1,0,0,0,0,1,52419720713.7316
57,VIETNAM,0,3,0,0,3,2,0,0,2,5,205276172134.901
